Job ID: 1.5.34.5702956011984257026 
Case: KLUMP045 BM TEST 
Appliance: www.xxxx.co.uk 
02/02/2016 15:22:22   Starting scheduled job: KLUMP045 BM TEST : Process documents from "Batch_0001" in batch "Batch_0001".
02/02/2016 23:10:23   www.xxxx.co.uk Indexer           Processed 17,007 documents (51.62 GB)
02/02/2016 23:35:10   www.xxxx.co.uk Indexer           Processed 17,517 documents (54.93 GB)
02/02/2016 23:56:05   www.xxxx.co.uk Indexer           Processed 18,019 documents (58.68 GB)
03/02/2016 00:17:01   www.xxxx.co.uk Indexer           Processed 18,554 documents (61.74 GB)
03/02/2016 00:23:44   www.xxxx.co.uk Indexer           Processed 19,215 documents (63.23 GB)
03/02/2016 00:27:55   www.xxxx.co.uk Indexer           Processed 19,732 documents (63.99 GB)
03/02/2016 00:36:08   www.xxxx.co.uk Indexer           Processed 20,268 documents (64.64 GB)
03/02/2016 00:40:09   www.xxxx.co.uk Indexer           Processed 20,785 documents (65.41 GB)
03/02/2016 00:43:10   www.xxxx.co.uk Indexer           Processed 21,631 documents (66.10 GB)
03/02/2016 00:49:31   www.xxxx.co.uk Indexer           Processed 22,182 documents (66.48 GB)
03/02/2016 00:49:51   www.xxxx.co.uk Indexer           Processed 22,713 documents (66.62 GB)
03/02/2016 00:50:41   www.xxxx.co.uk Indexer           Processed 23,290 documents (66.93 GB)
03/02/2016 00:51:32   www.xxxx.co.uk Indexer           Processed 23,849 documents (67.12 GB)
03/02/2016 00:51:52   www.xxxx.co.uk Indexer           Processed 24,361 documents (67.31 GB)
03/02/2016 00:52:32   www.xxxx.co.uk Indexer           Processed 25,306 documents (67.53 GB)
03/02/2016 00:52:52   www.xxxx.co.uk Indexer           Processed 25,964 documents (67.73 GB)
03/02/2016 00:53:22   www.xxxx.co.uk Indexer           Processed 26,800 documents (67.98 GB)
03/02/2016 00:54:02   www.xxxx.co.uk Indexer           Processed 27,311 documents (68.09 GB)
03/02/2016 00:54:43   www.xxxx.co.uk Indexer           Processed 27,919 documents (68.31 GB)
03/02/2016 00:55:03   www.xxxx.co.uk Indexer           Processed 28,649 documents (68.57 GB)
03/02/2016 00:55:43   www.xxxx.co.uk Indexer           Processed 29,206 documents (68.83 GB)
03/02/2016 00:56:34   www.xxxx.co.uk Indexer           Processed 29,926 documents (69.10 GB)
03/02/2016 00:56:54   www.xxxx.co.uk Indexer           Processed 30,669 documents (69.27 GB)
03/02/2016 00:57:14   www.xxxx.co.uk Indexer           Processed 31,175 documents (69.38 GB)
03/02/2016 00:58:14   www.xxxx.co.uk Indexer           Processed 31,845 documents (69.76 GB)
03/02/2016 00:58:34   www.xxxx.co.uk Indexer           Processed 32,474 documents (69.92 GB)
03/02/2016 00:58:54   www.xxxx.co.uk Indexer           Processed 33,092 documents (70.00 GB)
03/02/2016 00:59:34   www.xxxx.co.uk Indexer           Processed 33,980 documents (70.37 GB)
03/02/2016 01:00:05   www.xxxx.co.uk Indexer           Processed 34,810 documents (70.61 GB)
03/02/2016 01:00:26   www.xxxx.co.uk Indexer           Processed 35,369 documents (70.83 GB)
03/02/2016 01:00:47   www.xxxx.co.uk Indexer           Processed 36,020 documents (71.05 GB)
03/02/2016 01:01:37   www.xxxx.co.uk Indexer           Processed 37,159 documents (71.45 GB)
03/02/2016 01:02:07   www.xxxx.co.uk Indexer           Processed 37,766 documents (71.68 GB)
03/02/2016 01:02:27   www.xxxx.co.uk Indexer           Processed 38,566 documents (71.93 GB)
03/02/2016 01:02:48   www.xxxx.co.uk Indexer           Processed 39,195 documents (72.09 GB)
03/02/2016 01:03:18   www.xxxx.co.uk Indexer           Processed 40,038 documents (72.45 GB)
03/02/2016 01:03:38   www.xxxx.co.uk Indexer           Processed 41,043 documents (72.64 GB)
03/02/2016 01:03:58   www.xxxx.co.uk Indexer           Processed 42,389 documents (72.96 GB)
03/02/2016 01:04:08   www.xxxx.co.uk Indexer           Processed 43,178 documents (73.05 GB)
03/02/2016 01:04:18   www.xxxx.co.uk Indexer           Processed 43,842 documents (73.20 GB)
03/02/2016 01:04:28   www.xxxx.co.uk Indexer           Processed 44,498 documents (73.37 GB)
03/02/2016 01:04:39   www.xxxx.co.uk Indexer           Processed 45,401 documents (73.50 GB)
03/02/2016 01:04:49   www.xxxx.co.uk Indexer           Processed 46,083 documents (73.67 GB)
03/02/2016 01:04:59   www.xxxx.co.uk Indexer           Processed 47,242 documents (73.80 GB)
03/02/2016 01:05:09   www.xxxx.co.uk Indexer           Processed 47,953 documents (73.96 GB)
03/02/2016 01:05:29   www.xxxx.co.uk Indexer           Processed 48,947 documents (74.23 GB)
03/02/2016 01:05:39   www.xxxx.co.uk Indexer           Processed 49,518 documents (74.34 GB)
03/02/2016 01:05:49   www.xxxx.co.uk Indexer           Processed 50,190 documents (74.51 GB)
03/02/2016 01:06:09   www.xxxx.co.uk Indexer           Processed 51,329 documents (74.90 GB)
03/02/2016 01:06:29   www.xxxx.co.uk Indexer           Processed 52,314 documents (75.15 GB)
03/02/2016 01:07:10   www.xxxx.co.uk Indexer           Processed 53,231 documents (75.42 GB)
03/02/2016 01:07:20   www.xxxx.co.uk Indexer           Processed 54,097 documents (75.69 GB)
03/02/2016 01:07:40   www.xxxx.co.uk Indexer           Processed 54,668 documents (75.90 GB)
03/02/2016 01:08:00   www.xxxx.co.uk Indexer           Processed 55,727 documents (76.22 GB)
03/02/2016 01:08:10   www.xxxx.co.uk Indexer           Processed 56,673 documents (76.36 GB)
03/02/2016 01:08:40   www.xxxx.co.uk Indexer           Processed 57,192 documents (76.58 GB)
03/02/2016 01:09:00   www.xxxx.co.uk Indexer           Processed 57,854 documents (77.04 GB)
03/02/2016 01:09:11   www.xxxx.co.uk Indexer           Processed 58,640 documents (77.44 GB)
03/02/2016 01:09:31   www.xxxx.co.uk Indexer           Processed 59,724 documents (78.22 GB)
03/02/2016 01:09:51   www.xxxx.co.uk Indexer           Processed 60,265 documents (78.57 GB)
