Date,Batch,Idx start,Idx end,Idx time,Val start,Val end,Val time,Thr start,Thr end,Thr time,SA start,SA end,SA time,Stat start,Stat end,Stat time,D Mge start,D Mge end,D Mge time,C Mge start,C Mge end,C Mge time,Con time,Total time
03/09/2013,Batch_0370_20130902.a,16:16:26,16:34:22,18m 17.019s,16:34:27,17:40:05,01h 05m 38.111s,17:40:05,17:40:43,37.677s,17:41:01,20:13:25,02h 32m 42.144s,20:13:42,21:10:12,56m 47.231s,21:10:12,22:03:34,53m 22.354s,22:03:34,22:03:52,18.597s,48.426s,05h 48m 31.559s
03/09/2013,Batch_0371_20130902.b,22:06:28,22:58:08,52m 00.447s,22:58:11,00:31:34,01h 33m 22.817s,00:31:34,00:32:12,38.223s,00:32:31,02:07:57,01h 35m 45.197s,02:08:18,02:54:25,46m 27.765s,02:54:25,03:42:58,48m 32.716s,03:42:58,03:43:18,23.012s,01m 35.933s,05h 38m 46.110s
04/09/2013,Batch_0372_20130902.c,03:46:42,04:44:44,58m 21.774s,04:44:46,05:49:15,01h 04m 28.623s,05:49:15,05:50:02,47.631s,05:50:20,06:39:39,49m 36.774s,06:39:57,06:53:02,13m 23.155s,06:53:02,07:06:48,13m 46.089s,07:06:48,07:07:06,18.378s,22.497s,03h 21m 04.921s
04/09/2013,Batch_0373_20130902.d,07:09:04,07:27:35,18m 50.065s,07:27:40,07:53:10,25m 29.614s,07:53:10,07:53:48,38.005s,07:54:06,09:17:22,01h 23m 34.429s,09:17:40,09:57:58,40m 36.221s,09:57:58,10:25:46,27m 47.753s,10:25:46,10:26:06,21.669s,52.731s,03h 18m 10.487s
