Job ID: 1.5.18.5702956011984257026 
Case: 2015-TEST-CASE (TEST) 
Appliance: www.dummysite.co.uk 
29/01/2016 13:57:21   Starting scheduled job: 2015-TEST-CASE (TEST) : Process documents from "Batch_Test_0001" in batch "Batch_Test_0001".
29/01/2016 21:35:35   www.dummysite.co.uk Indexer           Processed 16,807 documents (31.95 GB)
29/01/2016 22:07:34   www.dummysite.co.uk Indexer           Processed 17,312 documents (33.91 GB)
29/01/2016 22:56:00   www.dummysite.co.uk Indexer           Processed 17,815 documents (35.97 GB)
29/01/2016 23:32:12   www.dummysite.co.uk Indexer           Processed 18,327 documents (37.81 GB)
30/01/2016 00:06:53   www.dummysite.co.uk Indexer           Processed 18,857 documents (39.92 GB)
30/01/2016 00:57:58   www.dummysite.co.uk Indexer           Processed 19,387 documents (42.19 GB)
30/01/2016 01:44:41   www.dummysite.co.uk Indexer           Processed 19,890 documents (44.34 GB)
30/01/2016 02:28:55   www.dummysite.co.uk Indexer           Processed 20,410 documents (46.38 GB)
30/01/2016 02:56:14   www.dummysite.co.uk Indexer           Processed 20,933 documents (48.26 GB)
30/01/2016 03:33:55   www.dummysite.co.uk Indexer           Processed 21,473 documents (49.99 GB)
30/01/2016 03:58:23   www.dummysite.co.uk Indexer           Processed 21,978 documents (51.86 GB)
30/01/2016 04:24:20   www.dummysite.co.uk Indexer           Processed 22,484 documents (54.02 GB)
30/01/2016 05:10:22   www.dummysite.co.uk Indexer           Processed 23,002 documents (55.97 GB)
30/01/2016 05:46:44   www.dummysite.co.uk Indexer           Processed 23,511 documents (58.25 GB)
30/01/2016 06:34:58   www.dummysite.co.uk Indexer           Processed 24,039 documents (60.20 GB)
30/01/2016 07:20:22   www.dummysite.co.uk Indexer           Processed 24,544 documents (62.42 GB)
30/01/2016 07:49:41   www.dummysite.co.uk Indexer           Processed 25,054 documents (64.46 GB)
30/01/2016 08:17:20   www.dummysite.co.uk Indexer           Processed 25,567 documents (66.81 GB)
30/01/2016 08:54:23   www.dummysite.co.uk Indexer           Processed 26,071 documents (68.70 GB)
30/01/2016 09:37:46   www.dummysite.co.uk Indexer           Processed 26,586 documents (70.82 GB)
30/01/2016 10:17:19   www.dummysite.co.uk Indexer           Processed 27,089 documents (72.47 GB)
30/01/2016 10:52:00   www.dummysite.co.uk Indexer           Processed 27,612 documents (74.63 GB)
30/01/2016 11:34:53   www.dummysite.co.uk Indexer           Processed 28,118 documents (76.61 GB)
30/01/2016 12:09:44   www.dummysite.co.uk Indexer           Processed 28,635 documents (78.71 GB)
30/01/2016 12:51:16   www.dummysite.co.uk Indexer           Processed 29,147 documents (80.92 GB)
30/01/2016 13:44:23   www.dummysite.co.uk Indexer           Processed 29,661 documents (82.89 GB)
30/01/2016 14:18:37   www.dummysite.co.uk Indexer           Processed 30,175 documents (85.34 GB)
30/01/2016 14:58:21   www.dummysite.co.uk Indexer           Processed 30,715 documents (87.59 GB)
30/01/2016 15:35:02   www.dummysite.co.uk Indexer           Processed 31,245 documents (89.63 GB)
30/01/2016 16:05:51   www.dummysite.co.uk Indexer           Processed 31,786 documents (91.33 GB)
30/01/2016 16:28:08   www.dummysite.co.uk Indexer           Processed 32,302 documents (92.75 GB)
30/01/2016 16:49:35   www.dummysite.co.uk Indexer           Processed 32,807 documents (94.79 GB)
30/01/2016 17:26:36   www.dummysite.co.uk Indexer           Processed 33,359 documents (96.85 GB)
30/01/2016 18:02:48   www.dummysite.co.uk Indexer           Processed 33,877 documents (99.32 GB)
30/01/2016 18:43:50   www.dummysite.co.uk Indexer           Processed 34,387 documents (101.54 GB)
30/01/2016 19:35:25   www.dummysite.co.uk Indexer           Processed 34,908 documents (103.61 GB)
30/01/2016 20:20:39   www.dummysite.co.uk Indexer           Processed 35,418 documents (105.74 GB)
30/01/2016 20:46:37   www.dummysite.co.uk Indexer           Processed 35,925 documents (107.46 GB)
30/01/2016 21:16:05   www.dummysite.co.uk Indexer           Processed 36,532 documents (109.18 GB)
30/01/2016 21:42:06   www.dummysite.co.uk Indexer           Processed 37,071 documents (110.71 GB)
30/01/2016 21:56:51   www.dummysite.co.uk Indexer           Processed 37,585 documents (112.29 GB)
30/01/2016 22:23:38   www.dummysite.co.uk Indexer           Processed 38,099 documents (114.05 GB)
30/01/2016 22:59:21   www.dummysite.co.uk Indexer           Processed 38,601 documents (115.94 GB)
30/01/2016 23:24:29   www.dummysite.co.uk Indexer           Processed 39,104 documents (117.87 GB)
30/01/2016 23:39:06   www.dummysite.co.uk Indexer           Processed 39,631 documents (119.52 GB)
31/01/2016 00:05:36   www.dummysite.co.uk Indexer           Processed 40,139 documents (120.94 GB)
31/01/2016 00:44:29   www.dummysite.co.uk Indexer           Processed 40,643 documents (122.67 GB)
31/01/2016 01:06:26   www.dummysite.co.uk Indexer           Processed 41,186 documents (124.50 GB)
31/01/2016 01:23:01   www.dummysite.co.uk Indexer           Processed 41,698 documents (125.69 GB)
31/01/2016 01:44:37   www.dummysite.co.uk Indexer           Processed 42,226 documents (127.46 GB)
31/01/2016 02:16:38   www.dummysite.co.uk Indexer           Processed 42,737 documents (129.24 GB)
31/01/2016 02:32:53   www.dummysite.co.uk Indexer           Processed 43,251 documents (130.79 GB)
31/01/2016 03:05:25   www.dummysite.co.uk Indexer           Processed 43,788 documents (132.50 GB)
31/01/2016 03:39:56   www.dummysite.co.uk Indexer           Processed 44,296 documents (134.10 GB)
31/01/2016 03:59:02   www.dummysite.co.uk Indexer           Processed 44,805 documents (135.66 GB)
